weight_decay,batch_size,model_seed,split_seed,shuffle_seed,pt_best_test_loss,ptg_best_test_loss,sft_best_test_loss,hybrid_test_loss,hybrid_acc
0.15,-1,1234,41,43,1.57248155119305e-06,0.7563227415084839,0.0003014039539266,0.0657387152314186,0.9852332472801208
0.15,-1,1234,42,43,1.9948743101849686e-06,0.0006410160567611,0.0071879173628985,0.9834079146385192,0.8659805655479431
0.15,-1,1235,41,43,0.3374515175819397,0.000509115983732,0.1984781175851822,0.8108110427856445,0.611254096031189
0.15,-1,1235,42,43,3.0678177154186415e-07,0.0122980456799268,0.0007965615950524,0.3063423633575439,0.7866652011871338
0.15,-1,1236,41,43,3.485718877982436e-07,0.1038017123937606,3.1020335882203653e-05,0.0615708790719509,0.9888131022453308
0.15,-1,1236,42,43,5.179148843126313e-07,0.012744702398777,0.000201232949621,0.2838973104953766,0.8177648782730103
0.15,256,1234,41,43,1.035329333376467e-07,1.0785681752167875e-06,1.453792037864332e-07,8.844719886779785,0.794607937335968
0.15,256,1234,41,44,1.963236968549609e-07,0.0001018018083414,8.761699632486852e-07,0.0450314432382583,1.0
0.15,256,1234,42,43,1.337385526767321e-07,0.0023497371003031,1.2933254538438632e-06,12.962355613708496,0.2964537441730499
0.15,256,1234,42,44,1.814609476014084e-07,0.0016312564257532,1.382529444526881e-05,0.0033196059521287,1.0
0.15,256,1235,41,43,1.564229279438223e-07,0.0001110079319914,1.0360698752265307e-06,75.401611328125,0.0534735433757305
0.15,256,1235,41,44,5.83320172609092e-07,0.0016624225536361,9.090054845728446e-06,0.0322574786841869,0.999776303768158
0.15,256,1235,42,43,1.048665367875401e-07,0.0027380515821278,0.0008139807032421,0.495347797870636,1.0
0.15,256,1235,42,44,1.801339664098123e-07,0.0009037947165779,0.0006035360856913,0.0096101108938455,0.9998881816864014
0.15,256,1236,41,43,1.3161820788809564e-07,1.0243609267490683e-06,9.242747182724996e-06,5.168910026550293,0.9744938015937804
0.15,256,1236,41,44,1.614503020164193e-07,7.95743653725367e-06,3.4676879295147955e-05,0.2181527465581894,0.9796398282051086
0.15,256,1236,42,43,3.430871799992019e-07,0.0014902660623192,0.0006276945350691,0.558223307132721,0.6684193015098572
0.15,256,1236,42,44,1.5034811440273188e-07,2.0238601791788824e-05,0.0001722875895211,0.0030839729588478,0.9995525479316713
0.15,512,1234,41,43,2.189211301129035e-07,5.440222139441175e-07,6.627802804359817e-07,0.3008840680122375,0.8127307295799255
0.15,512,1234,41,44,1.2285642014830958e-07,0.0004237341636326,2.6506515951041365e-06,0.14070825278759,1.0
0.15,512,1234,42,43,3.5220264749114e-07,8.98017970030196e-06,0.0009879540884867,12.041065216064451,0.1350262910127639
0.15,512,1234,42,44,2.0729214611492358e-07,1.1553671583897085e-06,0.0001180187246063,0.003580305725336,1.0
0.15,512,1235,41,43,2.61115616240204e-07,0.0095155294984579,0.0005346235702745,0.1151023209095001,0.9351158142089844
0.15,512,1235,41,44,2.135587209295409e-07,0.0002769894199445,0.00015228902339,6.585960388183594,0.993399739265442
0.15,512,1235,42,43,1.535088927084871e-07,4.746128468013922e-07,9.297196083934978e-05,1.2210878133773804,0.986575722694397
0.15,512,1235,42,44,8.984370225562088e-08,0.0129931783303618,7.658043728042685e-07,0.0238733123987913,1.0
0.15,512,1236,41,43,1.9649033333735133e-07,0.0099902506917715,7.396967021122691e-07,32.207054138183594,0.2179214805364608
0.15,512,1236,41,44,1.657913344388362e-07,0.0046850652433931,0.0002338079939363,0.4772100150585174,0.6755789518356323
0.15,512,1236,42,43,2.7606446906247584e-07,0.0060003488324582,0.0001922322117025,7.140401363372803,0.0862512588500976
0.15,512,1236,42,44,2.7159032356394164e-07,0.009997533634305,0.0017055862117558,0.798342764377594,0.4504978358745575
0.15,1024,1234,41,43,1.6583800288572093e-07,7.007264457570272e-07,0.0020531774498522,0.1241838932037353,0.9356751441955566
0.15,1024,1234,41,44,1.948489796177455e-07,9.831462193687912e-06,0.0012275323970243,0.8226909637451172,0.997203290462494
0.15,1024,1234,42,43,2.9030758241788135e-07,3.3069743494706927e-06,0.0002925303997471,13.568432807922363,0.0583957955241203
0.15,1024,1234,42,44,9.21040168577747e-08,6.824283786954766e-07,2.0760401753250335e-07,0.9514679312705994,0.999776303768158
0.15,1024,1235,41,43,2.119195698924159e-07,0.0007048458210192,2.583866262284573e-05,2.4479496479034424,0.9964202046394348
0.15,1024,1235,41,44,1.5628955907232014e-07,5.099258032714715e-06,5.00392616231693e-07,2.2132041454315186,0.9346683621406556
0.15,1024,1235,42,43,1.4198528219822037e-07,9.682017662271392e-06,0.000377369869966,2.793478488922119,0.7595928311347961
