weight_decay,batch_size,model_seed,split_seed,shuffle_seed,head_0_pt,head_0_pt_aug,head_0_post,head_0_post_aug,head_0_ptg,head_0_ptg_aug,head_1_pt,head_1_pt_aug,head_1_post,head_1_post_aug,head_1_ptg,head_1_ptg_aug,head_2_pt,head_2_pt_aug,head_2_post,head_2_post_aug,head_2_ptg,head_2_ptg_aug,head_3_pt,head_3_pt_aug,head_3_post,head_3_post_aug,head_3_ptg,head_3_ptg_aug,post_attn_pt,post_attn_pt_aug,post_attn_post,post_attn_post_aug,post_attn_ptg,post_attn_ptg_aug,post_mlp_pt,post_mlp_pt_aug,post_mlp_post,post_mlp_post_aug,post_mlp_ptg,post_mlp_ptg_aug
0.15,1024,1236,41,44,0.4884,0.4886,0.4897,0.4829,0.5090,0.5090,0.4991,0.4866,0.4988,0.4933,0.6058,0.7781,0.4980,0.4819,0.4850,0.4803,0.5941,0.7967,0.4884,0.4868,0.4897,0.4743,0.5090,0.5090,0.4905,0.5899,0.4766,0.5171,0.7502,0.9823,0.6163,0.6440,0.6090,0.7484,0.9997,0.9995
0.3,512,1234,41,44,0.4923,0.4913,0.4944,0.4905,0.5677,0.5549,0.4777,0.4759,0.4774,0.4795,0.5030,0.6004,0.4876,0.4850,0.4886,0.4892,0.6011,0.6173,0.4881,0.4819,0.4858,0.4798,0.5283,0.6004,0.4719,0.4772,0.4732,0.4790,0.9909,0.9932,0.5161,0.5059,0.4902,0.6784,0.9966,0.9932
0.15,512,1235,42,44,0.4787,0.4772,0.4811,0.4824,0.5829,0.6727,0.4952,0.4759,0.4946,0.4863,0.5944,0.6369,0.4722,0.4756,0.4772,0.4847,0.5764,0.7562,0.4892,0.4800,0.4897,0.4842,0.5090,0.5090,0.4772,0.4845,0.4777,0.4907,0.9645,0.9786,0.5649,0.5189,0.5516,0.6030,0.9864,0.9888
0.3,256,1235,42,43,0.4774,0.4638,0.4806,0.4792,0.5012,0.5610,0.4965,0.4879,0.4920,0.4845,0.5857,0.7343,0.4915,0.4970,0.4868,0.4952,0.4983,0.5487,0.4965,0.4973,0.4944,0.4946,0.6487,0.6829,0.4894,0.4928,0.4913,0.4863,0.9321,0.9804,0.5565,0.5192,0.5615,0.7823,0.9974,0.9997
0.15,1024,1234,42,44,0.4902,0.4832,0.4952,0.4954,0.4850,0.6763,0.4811,0.4779,0.4894,0.4855,0.6171,0.7940,0.4879,0.4842,0.4855,0.4853,0.6395,0.6996,0.4858,0.4960,0.4889,0.4931,0.4832,0.6434,0.4886,0.4910,0.4842,0.5038,0.8880,0.9982,0.5158,0.5513,0.5730,0.9616,0.9997,1.0000
0.5,512,1234,42,44,0.4855,0.4826,0.4900,0.4866,0.6212,0.7609,0.4858,0.4853,0.4949,0.4832,0.5090,0.5090,0.4792,0.4847,0.4806,0.4858,0.5949,0.6137,0.4889,0.4871,0.4894,0.4813,0.5831,0.6163,0.4782,0.4939,0.4790,0.4821,0.9890,0.9943,0.5166,0.4944,0.5223,0.5797,0.9997,0.9987
0.5,256,1235,42,44,0.4858,0.4800,0.4821,0.4706,0.4954,0.6552,0.4944,0.4813,0.4926,0.4910,0.6048,0.6442,0.4952,0.4905,0.4826,0.4787,0.6226,0.7110,0.4850,0.4871,0.4860,0.4829,0.6095,0.7424,0.4816,0.4926,0.4792,0.4892,0.9593,0.9869,0.5523,0.5727,0.5604,0.6539,0.9984,0.9997
0.15,256,1234,41,43,0.4871,0.4701,0.4821,0.4777,0.5453,0.6852,0.4853,0.4842,0.4821,0.4824,0.6087,0.8084,0.4986,0.4873,0.4986,0.4853,0.6011,0.7917,0.4993,0.4991,0.4996,0.4858,0.5432,0.7076,0.4693,0.8760,0.4706,0.9514,0.8194,0.9924,0.9997,0.9997,1.0000,1.0000,0.9997,1.0000
0.15,256,1235,42,43,0.4845,0.4774,0.4873,0.4850,0.6142,0.7797,0.4868,0.4860,0.4884,0.4850,0.5959,0.8097,0.4910,0.4970,0.4907,0.4941,0.6124,0.7371,0.5064,0.5085,0.5093,0.5072,0.6098,0.7301,0.5179,0.5184,0.5181,0.5192,0.9206,0.9718,0.5395,0.5570,0.5463,0.5604,0.9984,0.9974
0.5,256,1234,41,44,0.4902,0.4866,0.4926,0.4813,0.5231,0.6343,0.4983,0.4960,0.4918,0.4834,0.4845,0.6497,0.4957,0.4907,0.4839,0.4782,0.5996,0.7019,0.4873,0.4853,0.4847,0.4886,0.7150,0.7142,0.4949,0.4821,0.4889,0.4832,0.9248,0.9877,0.5040,0.4811,0.5155,0.8155,0.9992,1.0000
