weight_decay,batch_size,model_seed,split_seed,shuffle_seed,head_0_pt,head_0_post,head_0_ptg,head_1_pt,head_1_post,head_1_ptg,head_2_pt,head_2_post,head_2_ptg,head_3_pt,head_3_post,head_3_ptg,post_attn_pt,post_attn_post,post_attn_ptg,post_mlp_pt,post_mlp_post,post_mlp_ptg
0.15,1024,1236,41,44,0.4884,0.4897,0.5090,0.4991,0.4988,0.6058,0.4980,0.4850,0.5941,0.4884,0.4897,0.5090,0.4905,0.4766,0.7502,0.6163,0.6090,0.9997
0.3,512,1234,41,44,0.4923,0.4944,0.5677,0.4777,0.4774,0.5030,0.4876,0.4886,0.6011,0.4881,0.4858,0.5283,0.4719,0.4732,0.9909,0.5161,0.4902,0.9966
0.15,512,1235,42,44,0.4787,0.4811,0.5829,0.4952,0.4946,0.5944,0.4722,0.4772,0.5764,0.4892,0.4897,0.5090,0.4772,0.4777,0.9645,0.5649,0.5516,0.9864
0.3,256,1235,42,43,0.4774,0.4806,0.5012,0.4965,0.4920,0.5857,0.4915,0.4868,0.4983,0.4965,0.4944,0.6487,0.4894,0.4913,0.9321,0.5565,0.5615,0.9974
0.15,1024,1234,42,44,0.4902,0.4952,0.4850,0.4811,0.4894,0.6171,0.4879,0.4855,0.6395,0.4858,0.4889,0.4832,0.4886,0.4842,0.8880,0.5158,0.5730,0.9997
0.5,512,1234,42,44,0.4855,0.4900,0.6212,0.4858,0.4949,0.5090,0.4792,0.4806,0.5949,0.4889,0.4894,0.5831,0.4782,0.4790,0.9890,0.5166,0.5223,0.9997
0.5,256,1235,42,44,0.4858,0.4821,0.4954,0.4944,0.4926,0.6048,0.4952,0.4826,0.6226,0.4850,0.4860,0.6095,0.4816,0.4792,0.9593,0.5523,0.5604,0.9984
0.15,256,1234,41,43,0.4871,0.4821,0.5453,0.4853,0.4821,0.6087,0.4986,0.4986,0.6011,0.4993,0.4996,0.5432,0.4693,0.4706,0.8194,0.9997,1.0000,0.9997
0.15,256,1235,42,43,0.4845,0.4873,0.6142,0.4868,0.4884,0.5959,0.4910,0.4907,0.6124,0.5064,0.5093,0.6098,0.5179,0.5181,0.9206,0.5395,0.5463,0.9984
0.5,256,1234,41,44,0.4902,0.4926,0.5231,0.4983,0.4918,0.4845,0.4957,0.4839,0.5996,0.4873,0.4847,0.7150,0.4949,0.4889,0.9248,0.5040,0.5155,0.9992
0.3,512,1236,41,43,0.4889,0.4952,0.5735,0.4910,0.4939,0.6100,0.4837,0.4826,0.5390,0.4946,0.4910,0.5085,0.4787,0.4764,0.9911,0.5991,0.5881,0.9995
0.5,512,1234,42,43,0.4944,0.4960,0.6119,0.4860,0.4863,0.4897,0.4873,0.4892,0.6390,0.4866,0.4873,0.4907,0.4811,0.4779,0.8204,0.5234,0.6134,0.9937
0.5,512,1234,41,44,0.4884,0.4886,0.5090,0.4894,0.4886,0.5424,0.4894,0.4886,0.6356,0.4884,0.4879,0.5059,0.4782,0.4774,0.9890,0.5012,0.4993,0.9943
