variant,weight_decay,batch_size,model_seed,split_seed,shuffle_seed,original_loss,original_acc,zero_ablated_loss,zero_ablated_acc,mean_ablated_loss,mean_ablated_acc,loss_ratio_zero,loss_ratio_mean
PT,0.15,-1,1234,41,43,2.2355918645189377e-06,1.0,4.258949957147706e-06,1.0,4.182963493803982e-06,1.0,1.9050659580317277,1.871076541381173
PT,0.15,-1,1234,42,43,2.99964563055255e-06,1.0,4.19536672779941e-06,1.0,4.260472906025825e-06,1.0,1.3986207854247779,1.4203254086520296
PT,0.15,-1,1235,41,43,0.4724693298339844,0.9080585837364197,0.48271656036376953,0.9050043225288391,0.48442915081977844,0.9059440493583679,1.0216886682007187,1.02531343355133
PT,0.15,-1,1235,42,43,5.097884354654525e-07,1.0,8.005555400814046e-07,1.0,7.557854360129568e-07,1.0,1.5703681848931563,1.4825472361351262
PT,0.15,-1,1236,41,43,5.85719817536301e-07,1.0,7.76841886818147e-07,1.0,7.106414727786614e-07,1.0,1.3263028901527665,1.2132788604760127
PT,0.15,-1,1236,42,43,7.844296874282009e-07,1.0,9.097400948121503e-07,1.0,8.709161534170562e-07,1.0,1.1597471505633439,1.11025394292815
PT,0.15,1024,1234,41,43,2.8091517378925346e-07,1.0,4.414071383962437e-07,1.0,4.4854891712020617e-07,1.0,1.5713182468647762,1.596741504098009
PT,0.15,1024,1234,41,44,3.0491591473946755e-07,1.0,3.7092888760525966e-07,1.0,3.7077947467878403e-07,1.0,1.2164956621637681,1.216005648624779
PT,0.15,1024,1234,42,43,4.6627724259451497e-07,1.0,5.896502557334315e-07,1.0,5.565922833739023e-07,1.0,1.264591538828766,1.1936938639270613
PT,0.15,1024,1234,42,44,1.55478872443382e-07,1.0,2.5330862740702287e-07,1.0,2.4958382027762127e-07,1.0,1.6292157476204094,1.6052587490207573
PT,0.15,1024,1235,41,43,3.446505161264213e-07,1.0,3.781569262173434e-07,1.0,3.6842914141743677e-07,1.0,1.0972185112835626,1.0689934416993394
PT,0.15,1024,1235,41,44,2.720461793614959e-07,1.0,6.268349466154177e-07,1.0,6.199732638378919e-07,1.0,2.3041490532476008,2.2789265605309947
PT,0.15,1024,1235,42,43,2.3188120223949227e-07,1.0,2.836442831721797e-07,1.0,2.802080132369156e-07,1.0,1.2232310356888065,1.2084119390907344
PT,0.15,1024,1235,42,44,3.473656704500172e-07,1.0,4.3713748709706124e-07,1.0,4.278582252936758e-07,1.0,1.2584360640207863,1.2317228260909585
PT,0.15,1024,1236,41,43,3.828747594525339e-06,1.0,7.406985787383746e-06,1.0,4.302065462979954e-06,1.0,1.9345714504593798,1.1236221131764872
PT,0.15,1024,1236,41,44,1.4468675146872556e-07,1.0,5.305045078785042e-07,1.0,5.200973305363732e-07,1.0,3.66657280292297,3.5946437753065017
PT,0.15,1024,1236,42,43,4.850649020227138e-07,1.0,5.266759330879722e-07,1.0,5.11280461523711e-07,1.0,1.085784460783992,1.0540454677130393
PT,0.15,1024,1236,42,44,4.5697771611230564e-07,1.0,5.283575319481315e-07,1.0,4.937232915835921e-07,1.0,1.1561997736849903,1.0804099941325278
PT,0.15,256,1234,41,43,1.6926802004491037e-07,1.0,3.3691145517877885e-07,1.0,3.264833310367976e-07,1.0,1.9904022927035427,1.928795120012479
PT,0.15,256,1234,41,44,3.3007759725478536e-07,1.0,4.459160720671207e-07,1.0,4.264044548563106e-07,1.0,1.3509431593532844,1.2918309464279425
PT,0.15,256,1234,42,43,2.2506819163936598e-07,1.0,3.369764840499556e-07,1.0,3.387783067410055e-07,1.0,1.4972194942140198,1.505225168751704
PT,0.15,256,1234,42,44,3.027049899628764e-07,1.0,3.6705685602100857e-07,1.0,3.590653818719147e-07,1.0,1.2125893797324723,1.186189173544679
PT,0.15,256,1235,41,43,2.719995393363206e-07,1.0,4.113181546472333e-07,1.0,3.6156748706162034e-07,1.0,1.5122016590574028,1.3292944831592204
PT,0.15,256,1235,41,44,8.78226273925975e-07,1.0,9.552524034006638e-07,1.0,9.312924476034823e-07,1.0,1.0877064735610282,1.0604242610964976
PT,0.15,256,1235,42,43,1.804336875466106e-07,1.0,2.377557137833719e-07,1.0,2.3664475179430156e-07,1.0,1.3176902662478345,1.3115330901452102
PT,0.15,256,1235,42,44,2.905869678215822e-07,1.0,3.363325618011004e-07,1.0,3.2517621662009333e-07,1.0,1.157424795483621,1.1190323470381802
PT,0.15,256,1236,41,43,2.2217410844405094e-07,1.0,2.697215393254737e-07,1.0,2.698615446661279e-07,1.0,1.2140097746511107,1.2146399351213593
PT,0.15,256,1236,41,44,2.656881292750768e-07,1.0,3.8943437630223343e-07,1.0,3.877540279972891e-07,1.0,1.4657575306988502,1.4594330166547747
PT,0.15,256,1236,42,43,5.137914058650495e-07,1.0,6.600241135856777e-07,1.0,6.036001991560624e-07,1.0,1.2846149352662337,1.174796215479326
PT,0.15,256,1236,42,44,2.3562662931908562e-07,1.0,3.4603903031893424e-07,1.0,3.225703153475479e-07,1.0,1.4685905040483693,1.3689892194261417
PT,0.15,512,1234,41,43,3.6237000244909723e-07,1.0,3.8218072972995287e-07,1.0,3.7495470905923867e-07,1.0,1.0546698875374998,1.034728886290496
PT,0.15,512,1234,41,44,1.9861028022205574e-07,1.0,2.5885179866236285e-07,1.0,2.66347171873349e-07,1.0,1.3033152079185137,1.341054307841267
PT,0.15,512,1234,42,43,5.323142318047758e-07,1.0,5.606189006357454e-07,1.0,5.595830998572637e-07,1.0,1.053172857571372,1.0512270129619392
PT,0.15,512,1234,42,44,3.2610009270683804e-07,1.0,4.542805811524886e-07,1.0,4.504061337229359e-07,1.0,1.393070996642997,1.3811898364832673
PT,0.15,512,1235,41,43,4.338261874181626e-07,1.0,5.042828661316889e-07,1.0,4.976640184395364e-07,1.0,1.1624076202795328,1.1471507089078534
PT,0.15,512,1235,41,44,3.517625088989007e-07,1.0,4.736428707019513e-07,1.0,4.6605325110249396e-07,1.0,1.3464847978955028,1.3249088214697755
PT,0.15,512,1235,42,43,2.4963998157545575e-07,1.0,3.853544967569178e-07,1.0,3.717896674970689e-07,1.0,1.543640943750195,1.4893033766095372
PT,0.15,512,1235,42,44,1.582984339165705e-07,1.0,1.8934940726467175e-07,1.0,1.8580180949356873e-07,1.0,1.1961546465106934,1.1737438261170263
